country,abbrev,index
Afghanistan,AFG,2.66
Albania,ALB,4.64
Algeria,DZA,5.25
Argentina,ARG,6.04
Armenia,ARM,4.29
Australia,AUS,7.26
Austria,AUT,7.29
Azerbaijan,AZE,5.15
Bahrain,BHR,6.23
Bangladesh,BGD,4.31
Belarus,BLR,5.55
Belgium,BEL,6.93
Benin,BEN,4.85
Bolivia,BOL,5.65
Bosnia and Herzegovina,BIH,5.09
Botswana,BWA,3.5
Brazil,BRA,6.33
Bulgaria,BGR,5.1
Burkina Faso,BFA,4.65
Cambodia,KHM,4.59
Cameroon,CMR,5.07
Central African Republic,CAF,3.48
Canada,CAN,7.3
Chad,TCD,4.56
Chile,CHL,6.32
China,CHN,5.1
Colombia,COL,6.16
Congo (Brazzaville),COD,4.88
Congo (Kinshasa),COD,4.31
Costa Rica,CRI,7.23
Croatia,HRV,5.34
Cyprus,CYP,6.06
Czech Republic,CZE,6.79
Denmark,DNK,7.59
Dominican Republic,DOM,5.61
Ecuador,ECU,5.84
Egypt,EGY,3.93
El Salvador,SLV,6.34
Estonia,EST,5.94
Ethiopia,ETH,4.18
Finland,FIN,7.79
France,FRA,6.64
Gabon,GAB,4.78
Georgia,GEO,4.45
Germany,DEU,7.07
Ghana,GHA,5.48
Greece,GRC,5.15
Guatemala,GTM,6.33
Guinea,GIN,4.87
Haiti,HTI,3.82
Honduras,HND,6.02
Hong Kong,HKG,5.36
Hungary,HUN,6.07
Iceland,ISL,7.48
India,IND,4.05
Indonesia,IDN,5.1
Iran,IRN,4.72
Iraq,IRQ,4.46
Ireland,IRL,7.06
Israel,ISR,7.33
Italy,ITA,6.2
Ivory Coast,CIV,5.04
Jamaica,JAM,5.89
Japan,JPN,5.91
Jordan,JOR,4.81
Kazakhstan,KAZ,5.88
Kenya,KEN,4.48
Kosovo,KOR,6.15
Kuwait,KWT,6.09
Kyrgyzstan,KGZ,5.63
Laos,LAO,4.62
Latvia,LVA,5.98
Lebanon,LBN,5.15
Liberia,LBR,4.42
Libya,LBY,5.65
Lithuania,LTU,6.27
Luxembourg,LUX,7.06
Macedonia,MKD,5.23
Madagascar,MDG,4.08
Malawi,MWI,3.42
Mali,MLI,4.74
Malta,MLT,6.68
Mauritania,MRT,4.68
Mauritius,MUS,6.17
Mexico,MEX,6.41
Moldova,MDA,5.33
Mongolia,MNG,5.33
Montenegro,MNE,5.61
Morocco,MAR,5.31
Mozambique,MOZ,4.28
Myanmar,MMR,4.15
Namibia,NAM,4.44
Nepal,NPL,4.74
Netherlands,NLD,7.46
New Zealand,NZL,7.33
Nicaragua,NIC,6.48
Niger,NER,4.62
Nigeria,NGA,5.32
Norway,NOR,7.58
Pakistan,PAK,5.83
Palestinian Territories,PLW,4.63
Panama,PAN,6.57
Peru,PER,5.71
Philippines,PHL,5.59
Poland,POL,6.2
Portugal,PRT,5.71
Romania,ROU,6.09
Russia,RUS,5.58
Saudi Arabia,SAU,6.29
Senegal,SEN,4.68
Serbia,SRB,5.12
Sierra Leone,SLE,4.09
Singapore,SGP,6.38
Slovakia,SVK,6.37
Slovenia,SVN,6.17
South Africa,ZAF,4.51
Korea,KIR,5.87
South Sudan,SSD,2.82
Spain,ESP,6.23
Sri Lanka,LKA,4.33
Sweden,SWE,7.29
Switzerland,CHE,7.47
Taiwan Province of China,TWN,6.36
Tajikistan,TJK,5.83
Tanzania,TZA,3.35
Thailand,THA,5.94
Togo,TGO,4.36
Trinidad and Tobago,TTO,6.19
Tunisia,TUN,4.12
Turkey,TUR,5.61
Turkmenistan,TKM,5.23
Uganda,UGA,4
Ukraine,UKR,4.31
United Arab Emirates,ARE,7.04
United Kingdom,GBR,7.1
United States,USA,6.99
Uruguay,URY,6.34
Uzbekistan,UZB,6.42
Vietnam,VNM,5.18
Yemen,YEM,3.25
Zambia,ZMB,3.93
Zimbabwe,ZWE,3.64
